2.5, 0, 0, 1
1, 0, 1, -1
1, 1, 1, -1
1, 2, 1, -1
0, 9, 2, -1
0, 10, 1, -1
0, 11, 1, -1
5, 0, 2, 2
0, 13, 2, 0
0, 12, 2, 0
0, 12, 2, 0
0.5, 3, 2, 0
0.5, 4, 2, 0
0.5, 5, 2, 0
0.5, 6, 2, 0
0.5, 7, 2, 0
0.5, 8, 2, 0
0.5, 3, 2, 0
0.5, 4, 2, 0
0.5, 5, 2, 0
0.5, 6, 2, 0
0.5, 7, 2, 0
0.5, 8, 2, 0
0, 13, 2, 0
0, 12, 2, 0
0, 12, 2, 0
0.5, 3, 2, 0
0.5, 4, 2, 0
0.5, 5, 2, 0
0.5, 6, 2, 0
0.5, 7, 2, 0
0.5, 8, 2, 0
0.5, 3, 2, 0
0.5, 4, 2, 0
0.5, 5, 2, 0
0.5, 6, 2, 0
0.5, 7, 2, 0
0.5, 8, 2, 0
0, 13, 2, 0
0, 12, 2, 0
0, 12, 2, 0
0.5, 3, 2, 0
0.5, 4, 2, 0
0.5, 5, 2, 0
0.5, 6, 2, 0
0.5, 7, 2, 0
0.5, 8, 2, 0
0.5, 3, 2, 0
0.5, 4, 2, 0
0.5, 5, 2, 0
0.5, 6, 2, 0
0.5, 7, 2, 0
0.5, 8, 2, 0
5, 0, 0, 3
0.5, 14, 3, 0
